Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Papua New Guinea,2016,50th,Warning,7.2,7.1,6.5,5.8,9.3,7.4,7,9.2,7.1,7.9,4.7,7
Togo,2016,51st,Warning,6.7,7.6,4.8,6.5,8.4,7.6,8,8.3,6.9,8,6.8,6.2
Solomon Islands,2016,52nd,Warning,6.1,8.2,6.5,7.3,9.2,6.6,7,7.9,5.4,8.2,4.6,8.3
Equatorial Guinea,2016,53rd,Warning,6.7,8.2,6.3,6.2,8.9,5.7,9.9,7.4,9.4,7.7,3.6,5.2
Philippines,2016,54th,Warning,9.4,8,8.1,5.7,5.9,6.5,7.2,6.9,5.6,7.7,7.1,6.6
Laos,2016,55th,Warning,5.7,8.3,6.6,5.4,7.1,7.7,9.3,7.2,8.1,7.4,5.3,6.3
Madagascar,2016,56th,Warning,7.3,7.8,4.3,7.8,8.8,6.4,7.3,9.3,5.8,8.8,3.6,7
Comoros,2016,57th,Warning,6.9,7.5,5,8.2,7.2,7.6,6.8,8.4,6.5,7.5,4.7,7.5
Tajikistan,2016,57th,Warning,6.9,8.4,7.6,7.5,5.3,6.4,9.3,5.8,7.9,8.1,4.5,6.1
Senegal,2016,59th,Warning,5.9,6.6,6.6,7.6,7.6,7.7,5.2,7.6,6.2,8.3,7.5,6.8
Uzbekistan,2016,60th,Warning,7.3,8.8,7.3,6.5,7.1,6,9.7,5.1,9.4,5.8,5.7,4.8
Guatemala,2016,61st,Warning,7.3,6.8,8.2,5.7,8.3,7,6.7,7.7,6.9,7.4,5.8,5.4
Tanzania,2016,62nd,Warning,5.2,6,5.4,6.4,7.3,7.3,6.1,8.8,6.1,8.9,6.9,7.4
Venezuela,2016,63rd,Warning,6.8,8.2,7.4,7,6.9,5.2,8.7,7.2,8.6,5.2,4.8,5.6
Kyrgyz Republic,2016,64th,Warning,6.5,8,8.6,7.2,6.1,6.7,7.9,5.3,7,5.7,5.5,6.6
Russia,2016,65th,Warning,9.2,8.1,9,5.4,6.4,4.2,8.2,4.4,9.4,4.8,6,5.9
Lesotho,2016,66th,Warning,5.9,7.3,4.1,8.2,7.6,7.7,6.1,8.3,4.7,8.2,4.8,8
Colombia,2016,67th,Warning,7,7.6,7,3.9,7.8,6.3,6.5,6.1,7.2,6.7,7.9,6.2
Honduras,2016,68th,Warning,7,6.8,6.1,6.6,7.9,6.6,7,7,6.6,6.5,4,7.7
Israel and West Bank,2016,69th,Warning,7.1,8.1,9.8,4,7,3.5,6.6,5,7.7,5.7,7.5,7.7
India,2016,70th,Warning,7.6,7.3,8.5,5.3,7.2,5.8,4.9,7.6,6.2,8.1,5.5,5.6
Nicaragua,2016,71st,Warning,5.7,7.1,6.7,5.9,8.2,8.3,7.6,6.9,5.4,5.5,4.2,7.5
Benin,2016,72nd,Warning,5.9,7,3.6,6.3,7.8,7.1,5.9,8.9,5.4,8.5,5.7,6.8
Georgia,2016,72nd,Warning,7,9.1,8.1,5.6,5.7,5.1,8.5,4.5,5.8,4.2,7.7,7.6
Thailand,2016,74th,Warning,9.2,9.7,9,3.8,5.5,4.4,7.7,4.6,8.2,6.6,6.1,4
Bolivia,2016,75th,Warning,6.7,8.3,6.2,5.1,8.8,6.7,7,7,6.2,6.4,4.1,6
Algeria,2016,76th,Warning,7.7,7.1,7.9,6.8,6.3,5.4,7.8,5.5,6.8,5.4,6.5,5.1
Jordan,2016,77th,Warning,5.2,6.9,7.7,6.6,5.6,3.9,6.4,4.4,8,6.7,9.3,7.3
Bhutan,2016,78th,Warning,4.7,7.5,7.6,5.2,6.6,7.2,4.5,6.3,6.3,6.3,7.2,8.2
Turkey,2016,79th,Warning,7.8,7.6,9.5,4.8,5.9,3.6,6.6,4.6,7.4,5.1,8.8,5.6
Micronesia,2016,80th,Warning,4.8,5.6,4,9,8.5,9.5,5.7,6.2,3.4,7.6,3.6,9.2
Azerbaijan,2016,81st,Warning,6.4,7.9,6.7,3.8,5.6,4,8.9,5.1,8.6,4.8,7.9,6.6
Fiji,2016,82nd,Warning,6.8,7.9,7.1,6.7,6.5,7.9,7.1,4.5,6.6,4.4,3.3,7.4
Turkmenistan,2016,83rd,Warning,6.5,7.8,6.8,5.1,6.9,4.8,9.8,5.8,8.9,5.6,3.7,4.3
Ecuador,2016,84th,Warning,6.5,8.2,7.5,5.5,6.9,5.9,6.7,6,5.2,6,5.4,5.8
Ukraine,2016,85th,Warning,7.8,8,6.9,7,4.4,5.4,8.4,3.9,6.2,4.4,4.3,8.8
China,2016,86th,Warning,5.6,7.2,8.1,4.1,7.5,4.6,8.3,5.9,8.7,6.9,5.1,2.9
Indonesia,2016,86th,Warning,5.9,7,7.3,5.5,6,6.6,5.3,6.1,7.4,6.8,5.6,5.4
Bosnia and Herzegovina,2016,88th,Warning,5.9,8.7,7,5.7,5.3,5.2,6.7,3.8,6.1,4,7.8,8.4
Tunisia,2016,88th,Warning,7.9,7.8,7.9,6.9,5.1,5.8,6.7,4.6,6.7,4.4,4.2,6.6
Morocco,2016,89th,Warning,5.4,6.6,7.4,5,6.4,7.9,6.8,5.4,7,5,5.6,5.7
Maldives,2016,91st,Warning,6.6,8,4.8,6.1,3.8,5.9,8.7,5.8,7.7,5.5,4.4,6.7
Belarus,2016,92nd,Warning,6.3,8.3,7.1,6.2,4.9,3.1,8.9,4.4,8.1,5.3,3.8,7.5
Moldova,2016,93rd,Warning,6.3,8.3,7,6.6,5,6.3,6.8,5.1,5.1,5,4.1,7.6
Sao Tome and Principe,2016,94th,Warning,5.2,6.3,4.5,8.7,6.2,8.2,5.8,6.1,3.5,6.4,4.4,7.6
Paraguay,2016,95th,Warning,6.8,7.8,6,5.2,8.1,5.5,7.2,6.4,6.1,6.2,2.8,4.5
El Salvador,2016,96th,Warning,7,4.3,6.2,5.6,6.6,7.5,5,6.6,6.5,6.6,5,5.6
Saudi Arabia,2016,97th,Warning,6.5,8.2,7.5,4.7,5.5,3.5,8.1,4,8.9,5.5,4.9,4.9
Gabon,2016,98th,Warning,4.7,7.1,4,5,6.7,5.8,7.7,6.9,7.2,6.8,4.7,5.4
Peru,2016,98th,Warning,7.3,6.9,7.6,3.4,7.6,7,7.4,6.9,4.5,5.2,4.5,3.7
Serbia,2016,98th,Warning,5.7,8,7.8,6.6,5,5,5.4,4.4,4.6,4.5,8.6,6.4
Cape Verde,2016,101st,Warning,5.4,5.5,4.1,5.7,7.3,8.2,5.5,6.2,4.2,7.2,4.4,7.8
Ghana,2016,102nd,Warning,3.8,4.9,4.6,6.6,6.8,7.9,4.7,7.4,5.3,7.1,5.2,6.9
Namibia,2016,103rd,Warning,5.2,3.5,6,7,8.4,6.8,3.5,7.6,4,7.3,5.2,6.6
Guyana,2016,104th,Warning,6.1,5.1,6.4,6.1,5.9,9.4,5.6,6.4,3.6,5.5,3.8,7
Dominican Republic,2016,105th,Warning,5.5,6.2,6,5.2,6,7.3,5.7,6.8,6,7,3.5,5.6
Vietnam,2016,106th,Warning,4.8,6.9,6.2,5.3,5.2,5.9,8.4,4.9,7.5,5.8,4.4,5.4
Mexico,2016,107th,Warning,8,5.1,6.7,4.4,6.3,5.5,6.2,6.5,6.2,6.2,4.1,5.2
South Africa,2016,108th,Warning,5.8,5.6,6.3,6.6,7.7,5.2,5,7.2,4.4,7.3,5.6,3.2
Armenia,2016,109th,Warning,5,7,5.6,6.5,4.7,5.9,7.2,3.8,7,3.3,6.7,6.9
Samoa,2016,110th,Warning,4.9,5.1,4.5,6.5,5.1,9.2,5.7,5.1,4.3,5.9,2.4,8.9
Macedonia,2016,111th,Warning,5.7,7.3,7.1,6,5.4,5.2,6,4.1,4,3,7,6.2
Suriname,2016,112th,Warning,5.1,5.8,5.8,6.8,6.3,7,5.2,5.8,4.8,5,3,6.1
Kazakhstan,2016,113th,Warning,5.4,7.6,7.3,6.6,4.4,3.3,8,4.2,7.4,4.7,3.2,4.4
